_child_record_id,_record_id,_parent_id,_title,_version,_created_at,_updated_at,_created_by,_updated_by,_index,_geometry,_latitude,_longitude,_changeset_id,_created_duration,_updated_duration,_edited_duration,bag_id,species_capture,capture_type,capture_mark_recapture,life_stage,sex,snout_vent_length,body_and_bag_mass,bag_mass,body_mass,bd_swab_id,bd_swab_id_foundations,bacterial_swab_id,bacterial_swab_id_foundations,microbiome_id,microbiome_id_foundations,mucosome_id,amp_id,amp_id_2,amp_id_3,amp_id_4,antibody_id,antibody_id_2,antibody_id_3,antibody_id_4,norep_bathvolume_50ml_acid_05ml,norep_bathvolume_100ml_acid_1ml,norep_bathvolume_200ml_acid_2ml,ul_of_norep_135mgml,ul_of_norep_0675mgml,ul_of_norep_03375mgml,ul_of_norep_01688mgml,genetic_id,photo,photo_captions,photo_urls,capture_comments,amp_ig_ne_injected,amp_ig_soak_volume,amp_ig_acidified,amp_ig_comments
aeee7810-fd4f-4c0b-bafb-5cab51caa181,eda1bd9a-3043-4e47-99d5-dc41f52a4df2,eda1bd9a-3043-4e47-99d5-dc41f52a4df2,"Rana pipiens, BAG25, 1 record, Pe_Muc00212, Pe_AMP00211",2,2024-04-14 02:28:51 UTC,2024-04-14 03:41:03 UTC,Cori Zawacki,Cori Zawacki,0,SRID=4326;POINT(-80.42744468370289 41.64282244167004),41.64282244167004,-80.42744468370289,fe2d9002-5671-4ac3-886d-66ec5878e5dc,269,26,743,BAG25,Rana pipiens,New,4ad7c5fa-8722-4b21-abfc-90e7e272c469,Adult,Unknown,85.2,60.1,3.4,56.7,Pe_Bd00467,Pe_Bd00000,Pe_Bac00359,Pe_Bac00000,Pe_16S00359,Pe_16S00000,Pe_Muc00212,Pe_AMP00211,Pe_AMP00212,Pe_AMP00000,Pe_AMP00000,Pe_IG00211,Pe_IG00212,Pe_IG00000,Pe_IG00000,,,,567,,,,Pe_Toe00202,,,,very sudsy capture bag,Yes,50,Yes,
a6b2fb1e-5902-46ec-a8d7-f941cbd52dea,eda1bd9a-3043-4e47-99d5-dc41f52a4df2,eda1bd9a-3043-4e47-99d5-dc41f52a4df2,"Rana catesbeiana, BAG18, Pe_Muc00213, Pe_AMP00213",2,2024-04-14 02:33:22 UTC,2024-04-14 03:56:28 UTC,Cori Zawacki,Cori Zawacki,1,SRID=4326;POINT(-80.42744501629662 41.64284027476349),41.64284027476349,-80.42744501629662,fe2d9002-5671-4ac3-886d-66ec5878e5dc,116,29,457,BAG18,Rana catesbeiana,New,,,Female,61.5,27.6,4,23.6,Pe_Bd00468,Pe_Bd00000,Pe_Bac00360,Pe_Bac00000,Pe_16S00360,Pe_16S00000,Pe_Muc00213,Pe_AMP00213,Pe_AMP00000,Pe_AMP00000,Pe_AMP00000,Pe_IG00213,Pe_IG00000,Pe_IG00000,Pe_IG00000,,,,236,,,,Pe_Toe00000,"https://web.fulcrumapp.com/photos/view?photos=d749cd34-522b-4fed-858a-3ca556c16817,ed205d37-24a3-4fb7-928b-c2ab45d2c234",",","https://web.fulcrumapp.com/api/v2/file?context=2cc64fbe-9e1e-4083-853b-84b862731c6f&id=d749cd34-522b-4fed-858a-3ca556c16817&type=photo&expires=1713971569&signature=bjR1tOqTWND6U%2FuWkUIaJpk0Hb7cfzvqlGAd96k06No%3D,https://web.fulcrumapp.com/api/v2/file?context=2cc64fbe-9e1e-4083-853b-84b862731c6f&id=ed205d37-24a3-4fb7-928b-c2ab45d2c234&type=photo&expires=1713971569&signature=2YRU6fq7t9RYrPdqzWBs1WNt5cUn4%2FrWtJCjCZKbwCw%3D","tumor in mouth and signs of scoliosis
tongue swollen, mouth closed
lethargic 
frog thought to be deceased, then moved so we released",Yes,50,Yes,
7f9dc280-e1cf-4e2a-bac9-d61054a34553,eda1bd9a-3043-4e47-99d5-dc41f52a4df2,eda1bd9a-3043-4e47-99d5-dc41f52a4df2,"Rana catesbeiana, BAG38, 1 record, Pe_Muc00214, Pe_AMP00214",2,2024-04-14 02:35:20 UTC,2024-04-14 03:41:34 UTC,Cori Zawacki,Cori Zawacki,2,SRID=4326;POINT(-80.42740998227332 41.64281107019499),41.64281107019499,-80.42740998227332,fe2d9002-5671-4ac3-886d-66ec5878e5dc,39,10,396,BAG38,Rana catesbeiana,New,ca546896-0283-464c-b2ed-7e44c57530b1,Juvenile,Unknown,45.1,12.5,2.5,10,Pe_Bd00469,Pe_Bd00000,Pe_Bac00361,Pe_Bac00000,Pe_16S00361,Pe_16S00000,Pe_Muc00214,Pe_AMP00214,Pe_AMP00000,Pe_AMP00000,Pe_AMP00000,Pe_IG00214,Pe_IG00000,Pe_IG00000,Pe_IG00000,,,,100,,,,Pe_Toe00203,,,,,Yes,50,Yes,
34446364-1071-4916-862b-4183e80717d8,eda1bd9a-3043-4e47-99d5-dc41f52a4df2,eda1bd9a-3043-4e47-99d5-dc41f52a4df2,"Rana catesbeiana, BAG14, 1 record, Pe_Muc00215, Pe_AMP00215",2,2024-04-14 02:36:56 UTC,2024-04-14 03:41:47 UTC,Cori Zawacki,Cori Zawacki,3,SRID=4326;POINT(-80.4274986372755 41.64283731035041),41.64283731035041,-80.4274986372755,fe2d9002-5671-4ac3-886d-66ec5878e5dc,67,9,313,BAG14,Rana catesbeiana,New,0324a344-6902-4a24-bd17-14e5516ce31c,Adult,Female,49.9,17,2.5,14.5,Pe_Bd00470,Pe_Bd00000,Pe_Bac00362,Pe_Bac00000,Pe_16S00362,Pe_16S00000,Pe_Muc00215,Pe_AMP00215,Pe_AMP00000,Pe_AMP00000,Pe_AMP00000,Pe_IG00215,Pe_IG00000,Pe_IG00000,Pe_IG00000,,,,145,,,,Pe_Toe00204,,,,,Yes,50,Yes,
fcc9cae3-3471-4be8-82f7-b468b49e63ca,eda1bd9a-3043-4e47-99d5-dc41f52a4df2,eda1bd9a-3043-4e47-99d5-dc41f52a4df2,"Rana catesbeiana, BAG26, 1 record, Pe_Muc00216, Pe_AMP00216",2,2024-04-14 02:38:06 UTC,2024-04-14 03:42:23 UTC,Cori Zawacki,Cori Zawacki,4,SRID=4326;POINT(-80.42751224113232 41.64283208254896),41.64283208254896,-80.42751224113232,fe2d9002-5671-4ac3-886d-66ec5878e5dc,54,3,242,BAG26,Rana catesbeiana,New,4c2a5434-a590-4c46-993e-6a1458251129,Juvenile,Unknown,45,11,2.5,8.5,Pe_Bd00471,Pe_Bd00000,Pe_Bac00363,Pe_Bac00000,Pe_16S00363,Pe_16S00000,Pe_Muc00216,Pe_AMP00216,Pe_AMP00000,Pe_AMP00000,Pe_AMP00000,Pe_IG00216,Pe_IG00000,Pe_IG00000,Pe_IG00000,,,,,170,,,Pe_Toe00205,,,,,Yes,50,Yes,
03b68f40-58e1-4cc5-8985-751555387619,eda1bd9a-3043-4e47-99d5-dc41f52a4df2,eda1bd9a-3043-4e47-99d5-dc41f52a4df2,"Rana catesbeiana, BAG12, 1 record, Pe_Muc00217, Pe_AMP00217",2,2024-04-14 02:39:01 UTC,2024-04-14 03:44:37 UTC,Cori Zawacki,Cori Zawacki,5,SRID=4326;POINT(-80.4275256377736 41.64281747555545),41.64281747555545,-80.4275256377736,fe2d9002-5671-4ac3-886d-66ec5878e5dc,200,126,506,BAG12,Rana catesbeiana,New,3d2515a0-126d-44f6-a09c-b5b11df043e3,Juvenile,Unknown,44.6,13.3,2.9,10.4,Pe_Bd00472,Pe_Bd00000,Pe_Bac00364,Pe_Bac00000,Pe_16S00364,Pe_16S00000,Pe_Muc00217,Pe_AMP00217,Pe_AMP00000,Pe_AMP00000,Pe_AMP00000,Pe_IG00217,Pe_IG00000,Pe_IG00000,Pe_IG00000,,,,104,,,,Pe_Toe00206,,,,,Yes,50,Yes,
7aa64534-dfa6-4883-a55b-ecc7dc6e530c,eda1bd9a-3043-4e47-99d5-dc41f52a4df2,eda1bd9a-3043-4e47-99d5-dc41f52a4df2,"Rana clamitans, BAG15, Pe_Muc00000, Pe_AMP00000",2,2024-04-14 02:42:24 UTC,2024-04-14 02:48:52 UTC,Cori Zawacki,Cori Zawacki,6,SRID=4326;POINT(-80.42743982690139 41.642814619966565),41.642814619966565,-80.42743982690139,fe2d9002-5671-4ac3-886d-66ec5878e5dc,387,387,387,BAG15,Rana clamitans,New,,Juvenile,Unknown,44,13.4,2.4,11,Pe_Bd00455,Pe_Bd00456,Pe_Bac00352,Pe_Bac00353,Pe_16S00352,Pe_16S00353,Pe_Muc00000,Pe_AMP00000,Pe_AMP00000,Pe_AMP00000,Pe_AMP00000,Pe_IG00000,Pe_IG00000,Pe_IG00000,Pe_IG00000,,,,110,,,,Pe_Toe00000,,,,,,,,
d307bf3b-a50a-47c1-a9bb-f683151acecb,eda1bd9a-3043-4e47-99d5-dc41f52a4df2,eda1bd9a-3043-4e47-99d5-dc41f52a4df2,"Rana clamitans, BAG20, Pe_Muc00000, Pe_AMP00000",2,2024-04-14 02:48:53 UTC,2024-04-14 02:50:30 UTC,Cori Zawacki,Cori Zawacki,7,SRID=4326;POINT(-80.42750489043814 41.64286771741389),41.64286771741389,-80.42750489043814,fe2d9002-5671-4ac3-886d-66ec5878e5dc,96,96,96,BAG20,Rana clamitans,New,,Juvenile,Unknown,42.6,11.2,2.7,8.5,Pe_Bd00457,Pe_Bd00458,Pe_Bac00354,Pe_Bac00000,Pe_16S00354,Pe_16S00000,Pe_Muc00000,Pe_AMP00000,Pe_AMP00000,Pe_AMP00000,Pe_AMP00000,Pe_IG00000,Pe_IG00000,Pe_IG00000,Pe_IG00000,,,,,170,,,Pe_Toe00000,,,,,,,,
4c5eeed3-9355-4ea9-8bce-2a59aa864d06,eda1bd9a-3043-4e47-99d5-dc41f52a4df2,eda1bd9a-3043-4e47-99d5-dc41f52a4df2,"Rana clamitans, BAG11, Pe_Muc00000, Pe_AMP00000",2,2024-04-14 02:50:31 UTC,2024-04-14 02:53:01 UTC,Cori Zawacki,Cori Zawacki,8,SRID=4326;POINT(-80.42749417287212 41.64286043720508),41.64286043720508,-80.42749417287212,fe2d9002-5671-4ac3-886d-66ec5878e5dc,150,150,150,BAG11,Rana clamitans,New,,Juvenile,Unknown,48.2,14.5,2.8,11.7,Pe_Bd00459,Pe_Bd00460,Pe_Bac00355,Pe_Bac00000,Pe_16S00355,Pe_16S00000,Pe_Muc00000,Pe_AMP00000,Pe_AMP00000,Pe_AMP00000,Pe_AMP00000,Pe_IG00000,Pe_IG00000,Pe_IG00000,Pe_IG00000,,,,117,,,,Pe_Toe00000,,,,,,,,
666059a6-fbbc-443f-a22c-11a9737dd50d,eda1bd9a-3043-4e47-99d5-dc41f52a4df2,eda1bd9a-3043-4e47-99d5-dc41f52a4df2,"Rana clamitans, BAG13, Pe_Muc00000, Pe_AMP00000",2,2024-04-14 02:53:02 UTC,2024-04-14 02:55:18 UTC,Cori Zawacki,Cori Zawacki,9,SRID=4326;POINT(-80.42744446148892 41.642849323460574),41.642849323460574,-80.42744446148892,fe2d9002-5671-4ac3-886d-66ec5878e5dc,135,135,135,BAG13,Rana clamitans,New,,Juvenile,Unknown,44.7,12,2.7,9.3,Pe_Bd00461,Pe_Bd00462,Pe_Bac00356,Pe_Bac00000,Pe_16S00356,Pe_16S00000,Pe_Muc00000,Pe_AMP00000,Pe_AMP00000,Pe_AMP00000,Pe_AMP00000,Pe_IG00000,Pe_IG00000,Pe_IG00000,Pe_IG00000,,,,,186,,,Pe_Toe00000,,,,,,,,
1405fb5e-8566-48af-9d4d-7b4a0abef389,eda1bd9a-3043-4e47-99d5-dc41f52a4df2,eda1bd9a-3043-4e47-99d5-dc41f52a4df2,"Rana clamitans, BAG24, Pe_Muc00000, Pe_AMP00000",2,2024-04-14 02:55:19 UTC,2024-04-14 02:57:11 UTC,Cori Zawacki,Cori Zawacki,10,SRID=4326;POINT(-80.427501432897 41.64284891423013),41.64284891423013,-80.427501432897,fe2d9002-5671-4ac3-886d-66ec5878e5dc,112,112,112,BAG24,Rana clamitans,New,,Adult,Female,42.7,13.2,3.5,9.7,Pe_Bd00463,Pe_Bd00464,Pe_Bac00357,Pe_Bac00000,Pe_16S00357,Pe_16S00000,Pe_Muc00000,Pe_AMP00000,Pe_AMP00000,Pe_AMP00000,Pe_AMP00000,Pe_IG00000,Pe_IG00000,Pe_IG00000,Pe_IG00000,,,,,194,,,Pe_Toe00000,,,,bag very sudsy,,,,
83dd9d3c-21d3-4074-be6a-9e8dc29728d3,eda1bd9a-3043-4e47-99d5-dc41f52a4df2,eda1bd9a-3043-4e47-99d5-dc41f52a4df2,"Rana clamitans, BAG21, Pe_Muc00000, Pe_AMP00000",2,2024-04-14 02:57:12 UTC,2024-04-14 03:01:12 UTC,Cori Zawacki,Cori Zawacki,11,SRID=4326;POINT(-80.42748907471292 41.642817528439636),41.642817528439636,-80.42748907471292,fe2d9002-5671-4ac3-886d-66ec5878e5dc,239,239,239,BAG21,Rana clamitans,New,,Adult,Female,46.4,14.1,2.8,11.3,Pe_Bd00465,Pe_Bd00466,Pe_Bac00358,Pe_Bac00000,Pe_16S00358,Pe_16S00000,Pe_Muc00000,Pe_AMP00000,Pe_AMP00000,Pe_AMP00000,Pe_AMP00000,Pe_IG00000,Pe_IG00000,Pe_IG00000,Pe_IG00000,,,,113,,,,Pe_Toe00000,,,,,,,,
28829e4f-e1de-4166-8284-6fb61f50589d,eda1bd9a-3043-4e47-99d5-dc41f52a4df2,eda1bd9a-3043-4e47-99d5-dc41f52a4df2,"Negative Control, BAG00, Pe_Muc00218, Pe_AMP00218",2,2024-04-14 03:44:55 UTC,2024-04-14 03:47:35 UTC,Cori Zawacki,Cori Zawacki,12,SRID=4326;POINT(-80.42748502276183 41.64281935427845),41.64281935427845,-80.42748502276183,fe2d9002-5671-4ac3-886d-66ec5878e5dc,159,159,159,BAG00,Negative Control,,,,,,,,,Pe_Bd00473,Pe_Bd00000,Pe_Bac00365,Pe_Bac00000,Pe_16S00365,Pe_16S00000,Pe_Muc00218,Pe_AMP00218,Pe_AMP00000,Pe_AMP00000,Pe_AMP00000,Pe_IG00218,Pe_IG00000,Pe_IG00000,Pe_IG00000,,,,,,,,Pe_Toe00000,,,,,Yes,50,Yes,
72bfa587-092c-46aa-8ace-a95b65cedd89,0eae39b9-bce5-4f06-9295-f9d895eb4edd,0eae39b9-bce5-4f06-9295-f9d895eb4edd,"Pseudacris crucifer, BAG01, Pe_Muc00203, Pe_AMP00202",2,2024-03-17 01:55:46 UTC,2024-03-17 03:11:38 UTC,Cori Zawacki,Cori Zawacki,0,SRID=4326;POINT(-80.51253343604627 41.691301982300494),41.691301982300494,-80.51253343604627,a55c6af5-66c6-4af2-870e-44f9f34064ec,71,94,266,BAG01,Pseudacris crucifer,New,,Adult,Male,29.8,4,2.2,1.8,Pe_Bd00439,Pe_Bd00440,Pe_Bac00343,Pe_Bac00000,Pe_16S00343,,Pe_Muc00203,Pe_AMP00202,Pe_AMP00000,Pe_AMP00000,Pe_AMP00000,Pe_IG00202,Pe_IG00000,Pe_IG00000,Pe_IG00000,,,,,,,144,Pe_Toe00000,,,,,Yes,50,Yes,
